"Caudal","pH","Temperatura","Conductividad","Salinidad","Solidos.Totales","O2","O2p","DBO5","DQO","FT","NT","Turbidez","Coliformes"
356.1,7.67,21.2,844,0.4,422,1.8,234,390,578,4.0114,36.2926,140,2400000
50.35,7.87,22,850,0.4,425,1.26,16.2,210,368,4.6546,36.6433,180,3.5e+07
46.5,8.34,25.3,178.8,0,89,8.27,109.9,3,26,0.1761,1.5763,41,220
1466,7.67,23.8,936,0.4,478,1.09,14.7,120,268,3.246,26.5217,210,7e+06
120.1,7.83,16.5,631,0.2,316,3.24,40.3,150,291,3.9857,29.2242,160,2600000
406.3,7.47,21,917,0.4,459,1.91,23.4,600,2741,3.1057,44.8256,4550,1e+06
115.1,7.86,22.9,886,0.4,443,0.26,2.7,360,611,5.8936,42.1754,540,5.4e+07
736.8,7.92,24.5,1173,0.5,587,0.09,2.4,230,477,5.783,32.7692,810,1700000
650.6,7.79,26.1,985,0.4,498,0.48,7.4,260,482,5.5729,43.1977,260,2200000
37.95,8.46,24.8,198.3,0,99,7.57,104.1,7,51,0.1376,1.0504,8,91
1598,7.77,22.3,976,0.4,488,0.98,12.9,240,446,4.9017,35.7054,800,4500000
0.154074,7.65,13.4,530,0.2,265,4.73,56.6,85,147,1.9253,20,26,1300000
0.345127,7.53,19.4,573,0.2,286,4.02,50,300,901,1.1406,28,154,3.5e+07
0.0144795,7.42,20.3,171.7,0,86,6.4,78.8,3,28,0.1308,0.9,2,1600
1.1574,7.63,23.2,1001,0.4,501,0.28,3.8,135,270,3.3345,35,123,4800000
0.135641,7.5,21.1,847,0.4,423,2.1,27,300,926,5.9164,47,161,1400000
0.69095,7.74,22.4,1036,0.5,518,0.02,0.1,320,983,5.8267,45,520,550000
1.00065,7.49,24.7,959,0.4,480,0.2,2.5,120,241,1.9861,35,92,7900000
0.0267678,7.15,21.4,177.8,0,89,5.77,77,3,2.6,0.1233,1.5,4,61
1.2421,7.6,26,991,0.4,496,0.04,0.5,190,448,5.5607,45,240,3400000
0.417568,7.66,18.7,633,0.2,317,0.91,12,190,384,3.7492,35,210,3900000
0.27106755,7.32,22.6,1058,0.5,529,0.36,4.6,280,647,5.48,41,280,1.7e+07
